team_a,team_b,is_knockout,neutral_venue,elo_diff,elo_official_diff,fifa_rank_diff,form5_win_rate_diff,form10_win_rate_diff,form10_gd_diff,form10_gf_diff,avg_overall_diff,max_overall_diff,market_value_diff,avg_market_value_diff,h2h_played,h2h_win_rate_a,h2h_wc_played,h2h_wc_win_rate_a,shootout_win_rate_a,shootout_win_rate_b,shootout_win_rate_diff,avg_caps_diff,elo_a,elo_b,fifa_rank_a,fifa_rank_b,avg_overall_a,avg_overall_b,form10_wr_a,form10_wr_b,strength_score_a,strength_score_b,strength_score_diff,target,home_score,away_score,match_date,tournament
Argentina,United States,0,1,193.8,300.0,16,0.0,0.3,1.0,0.5,5.7,4.0,444850000.0,17109615.0,1,1.0,0,0.333,0.652,0.6,0.052,11.2,2207.0,2013.2,1,17,84.1,78.4,0.7,0.4,0.8207,0.6429,0.1778,2,6,1,1930-07-26,FIFA World Cup
Uruguay,Yugoslavia,0,0,-23.4,45.1,0,-0.4,-0.5,-1.8,-1.4,5.3,9.0,359300000.0,13819231.0,1,1.0,0,0.333,0.529,0.0,0.529,36.3,1891.5,1914.9,16,16,80.3,75.0,0.3,0.8,0.6023,0.6713,-0.069,2,6,1,1930-07-27,FIFA World Cup
Uruguay,Argentina,0,0,-315.5,-190.0,-15,-0.2,-0.4,-0.9,-0.5,-3.8,1.0,-448200000.0,-17238462.0,91,0.363,0,0.333,0.529,0.652,-0.123,-12.5,1891.5,2207.0,16,1,80.3,84.1,0.3,0.7,0.6023,0.8207,-0.2184,2,4,2,1930-07-30,FIFA World Cup
Argentina,Sweden,0,1,467.7,335.0,24,0.0,0.4,1.7,0.1,5.0,0.0,401425000.0,15439423.0,0,0.333,0,0.333,0.652,0.667,-0.015,28.3,2207.0,1739.3,1,25,84.1,79.1,0.7,0.3,0.8207,0.5816,0.239,0,2,3,1934-05-27,FIFA World Cup
Austria,France,0,1,-327.2,-270.0,-21,-0.4,-0.1,0.0,-0.3,-7.8,-9.0,-1278400000.0,-49169231.0,3,1.0,0,0.333,0.0,0.455,-0.455,7.8,1846.0,2173.2,24,3,78.3,86.1,0.7,0.8,0.6753,0.9401,-0.2648,2,3,2,1934-05-27,FIFA World Cup
Belgium,Germany,0,1,-192.4,-20.0,1,-0.6,-0.2,0.5,0.4,-2.1,0.0,-399500000.0,-15365385.0,4,0.75,0,0.333,1.0,0.75,0.25,9.3,1839.8,2032.2,9,10,82.7,84.8,0.5,0.7,0.6745,0.813,-0.1385,0,2,5,1934-05-27,FIFA World Cup
Brazil,Spain,0,1,-139.7,-90.0,-4,0.0,-0.2,-1.7,-1.7,-0.5,-1.0,-294600000.0,-11330769.0,0,0.333,0,0.333,0.562,0.5,0.062,6.7,2080.1,2219.8,6,2,85.3,85.8,0.5,0.7,0.7692,0.8819,-0.1126,0,1,3,1934-05-27,FIFA World Cup
Czechoslovakia,Romania,0,1,128.0,128.0,28,0.2,-0.1,0.1,-0.2,0.6,1.0,0.0,0.0,2,1.0,0,0.333,1.0,0.25,0.75,0.0,1747.7,1619.7,19,47,75.0,74.4,0.4,0.5,0.5447,0.548,-0.0033,2,2,1,1934-05-27,FIFA World Cup
Egypt,Hungary,0,1,264.3,44.2,-9,0.0,0.4,1.5,0.1,-3.1,6.0,110100000.0,4234615.0,2,0.5,0,0.333,0.577,1.0,-0.423,32.6,1950.1,1685.8,36,27,72.7,75.8,0.6,0.2,0.6365,0.4866,0.1498,0,2,4,1934-05-27,FIFA World Cup
Italy,United States,0,0,-180.4,-17.2,7,0.0,0.3,0.9,1.2,6.0,5.0,-362650000.0,-13948077.0,0,0.333,0,0.333,0.467,0.6,-0.133,-37.6,1832.8,2013.2,10,17,84.4,78.4,0.7,0.4,0.6541,0.6429,0.0113,2,7,1,1934-05-27,FIFA World Cup
Netherlands,Switzerland,0,1,61.2,120.0,11,0.0,0.1,1.2,1.1,3.7,3.0,421700000.0,16219231.0,9,0.333,0,0.333,0.2,0.25,-0.05,-10.4,2037.2,1976.0,8,19,83.9,80.2,0.7,0.6,0.7861,0.6869,0.0992,0,2,3,1934-05-27,FIFA World Cup
Austria,Hungary,0,1,160.2,144.2,3,0.0,0.5,2.6,1.2,2.5,-3.0,244600000.0,9407692.0,74,0.338,0,0.333,0.0,1.0,-1.0,39.2,1846.0,1685.8,24,27,78.3,75.8,0.7,0.2,0.6753,0.4866,0.1887,2,2,1,1934-05-31,FIFA World Cup
Czechoslovakia,Switzerland,0,1,-228.3,-112.3,0,0.0,-0.2,-0.3,-0.2,-5.2,-7.0,-332500000.0,-12788462.0,6,0.5,0,0.333,1.0,0.25,0.75,-44.2,1747.7,1976.0,19,19,75.0,80.2,0.4,0.6,0.5447,0.6869,-0.1422,2,3,2,1934-05-31,FIFA World Cup
Germany,Sweden,0,1,292.9,155.0,15,0.4,0.4,2.2,1.0,5.7,1.0,540925000.0,20804808.0,10,0.3,0,0.333,0.75,0.667,0.083,12.7,2032.2,1739.3,10,25,84.8,79.1,0.7,0.3,0.813,0.5816,0.2314,2,2,1,1934-05-31,FIFA World Cup
Italy,Spain,0,0,-387.0,-287.2,-8,0.0,0.0,-1.3,-0.8,-1.4,-1.0,-1222800000.0,-47030769.0,10,0.3,0,0.333,0.467,0.5,-0.033,-29.2,1832.8,2219.8,10,2,84.4,85.8,0.7,0.7,0.6541,0.8819,-0.2277,1,1,1,1934-05-31,FIFA World Cup
Italy,Spain,0,0,-387.0,-287.2,-8,0.0,0.0,-1.3,-0.8,-1.4,-1.0,-1222800000.0,-47030769.0,11,0.273,1,0.0,0.467,0.5,-0.033,-29.2,1832.8,2219.8,10,2,84.4,85.8,0.7,0.7,0.6541,0.8819,-0.2277,2,1,0,1934-06-01,FIFA World Cup
Czechoslovakia,Germany,0,1,-284.5,-222.3,-9,-0.4,-0.3,-0.5,-0.5,-9.8,-9.0,-947000000.0,-36423077.0,0,0.333,0,0.333,1.0,0.75,0.25,-33.1,1747.7,2032.2,19,10,75.0,84.8,0.4,0.7,0.5447,0.813,-0.2683,2,3,1,1934-06-03,FIFA World Cup
Italy,Austria,0,0,-13.2,2.8,14,0.2,0.0,-0.7,-0.1,6.1,7.0,-244600000.0,-9407692.0,13,0.077,0,0.333,0.467,0.0,0.467,-39.2,1832.8,1846.0,10,24,84.4,78.3,0.7,0.7,0.6541,0.6753,-0.0212,2,1,0,1934-06-03,FIFA World Cup
Austria,Germany,0,1,-186.2,-140.0,-14,-0.6,0.0,0.1,-0.1,-6.5,-7.0,-702400000.0,-27015385.0,9,0.667,0,0.333,0.0,0.75,-0.75,6.2,1846.0,2032.2,24,10,78.3,84.8,0.7,0.7,0.6753,0.813,-0.1377,0,2,3,1934-06-07,FIFA World Cup
Italy,Czechoslovakia,0,0,85.1,85.1,9,0.0,0.3,-0.1,0.3,9.4,9.0,0.0,0.0,10,0.3,0,0.333,0.467,1.0,-0.533,0.0,1832.8,1747.7,10,19,84.4,75.0,0.7,0.4,0.6541,0.5447,0.1094,2,2,1,1934-06-10,FIFA World Cup
Germany,Switzerland,0,1,56.2,110.0,9,0.4,0.1,0.2,0.3,4.6,2.0,614500000.0,23634615.0,21,0.667,0,0.333,0.75,0.25,0.5,-11.1,2032.2,1976.0,10,19,84.8,80.2,0.7,0.6,0.813,0.6869,0.1261,1,1,1,1938-06-04,FIFA World Cup
Brazil,Poland,0,1,395.2,345.1,20,0.0,-0.1,0.0,-0.3,6.6,1.0,928200000.0,35700000.0,0,0.333,0,0.333,0.562,0.75,-0.188,35.8,2080.1,1684.9,6,26,85.3,78.7,0.5,0.6,0.7692,0.5929,0.1763,2,6,5,1938-06-05,FIFA World Cup
Cuba,Romania,0,1,-219.3,-219.3,-122,0.2,-0.1,-0.6,-0.9,-8.9,-13.0,0.0,0.0,0,0.333,0,0.333,0.25,0.25,0.0,0.0,1400.4,1619.7,169,47,65.5,74.4,0.4,0.5,0.4683,0.548,-0.0797,1,3,3,1938-06-05,FIFA World Cup
Czechoslovakia,Netherlands,0,1,-289.5,-232.3,-11,0.0,-0.3,-1.5,-1.3,-8.9,-10.0,-754200000.0,-29007692.0,1,1.0,0,0.333,1.0,0.2,0.8,-33.7,1747.7,2037.2,19,8,75.0,83.9,0.4,0.7,0.5447,0.7861,-0.2414,2,3,0,1938-06-05,FIFA World Cup
France,Belgium,0,0,333.4,150.0,6,0.4,0.3,-0.4,-0.2,3.4,2.0,975500000.0,37519231.0,32,0.344,0,0.333,0.455,1.0,-0.545,-11.0,2173.2,1839.8,3,9,86.1,82.7,0.8,0.5,0.9401,0.6745,0.2657,2,3,1,1938-06-05,FIFA World Cup
Hungary,Indonesia,0,1,167.9,167.9,107,0.0,-0.1,0.5,0.3,7.7,7.0,0.0,0.0,0,0.333,0,0.333,1.0,0.909,0.091,0.0,1685.8,1517.9,27,134,75.8,68.1,0.2,0.3,0.4866,0.4678,0.0188,2,6,0,1938-06-05,FIFA World Cup
Italy,Norway,0,1,-248.4,57.8,34,-0.4,-0.3,-2.5,-2.0,5.5,-1.0,-589900000.0,-22688462.0,2,1.0,0,0.333,0.467,0.5,-0.033,-31.4,1832.8,2081.2,10,44,84.4,78.9,0.7,1.0,0.6541,0.8351,-0.1809,2,2,1,1938-06-05,FIFA World Cup
Cuba,Romania,0,1,-219.3,-219.3,-122,0.2,-0.1,-0.6,-0.9,-8.9,-13.0,0.0,0.0,1,0.0,1,0.0,0.25,0.25,0.0,0.0,1400.4,1619.7,169,47,65.5,74.4,0.4,0.5,0.4683,0.548,-0.0797,2,2,1,1938-06-09,FIFA World Cup
Germany,Switzerland,0,1,56.2,110.0,9,0.4,0.1,0.2,0.3,4.6,2.0,614500000.0,23634615.0,22,0.636,1,0.0,0.75,0.25,0.5,-11.1,2032.2,1976.0,10,19,84.8,80.2,0.7,0.6,0.813,0.6869,0.1261,0,2,4,1938-06-09,FIFA World Cup
Brazil,Czechoslovakia,0,1,332.4,282.3,13,0.0,0.1,-0.5,-0.6,10.3,9.0,928200000.0,35700000.0,0,0.333,0,0.333,0.562,1.0,-0.438,35.8,2080.1,1747.7,6,19,85.3,75.0,0.5,0.4,0.7692,0.5447,0.2245,1,1,1,1938-06-12,FIFA World Cup
Cuba,Sweden,0,1,-338.9,-414.6,-144,0.0,0.1,1.0,-0.2,-13.6,-22.0,-406075000.0,-15618269.0,0,0.333,0,0.333,0.25,0.667,-0.417,-20.4,1400.4,1739.3,169,25,65.5,79.1,0.4,0.3,0.4683,0.5816,-0.1133,0,0,8,1938-06-12,FIFA World Cup
France,Italy,0,0,340.4,267.2,7,0.2,0.1,0.7,0.4,1.7,2.0,1523000000.0,58576923.0,16,0.25,0,0.333,0.455,0.467,-0.012,31.4,2173.2,1832.8,3,10,86.1,84.4,0.8,0.7,0.9401,0.6541,0.286,0,1,3,1938-06-12,FIFA World Cup
Hungary,Switzerland,0,1,-290.2,-174.2,-8,-0.2,-0.4,-2.3,-1.0,-4.4,-2.0,-332500000.0,-12788462.0,17,0.647,0,0.333,1.0,0.25,0.75,-44.2,1685.8,1976.0,27,19,75.8,80.2,0.2,0.6,0.4866,0.6869,-0.2003,2,2,0,1938-06-12,FIFA World Cup
Brazil,Czechoslovakia,0,1,332.4,282.3,13,0.0,0.1,-0.5,-0.6,10.3,9.0,928200000.0,35700000.0,1,0.0,1,0.0,0.562,1.0,-0.438,35.8,2080.1,1747.7,6,19,85.3,75.0,0.5,0.4,0.7692,0.5447,0.2245,2,2,1,1938-06-14,FIFA World Cup
Brazil,Italy,0,1,247.3,197.2,4,0.0,-0.2,-0.4,-0.9,0.9,0.0,928200000.0,35700000.0,0,0.333,0,0.333,0.562,0.467,0.095,35.8,2080.1,1832.8,6,10,85.3,84.4,0.5,0.7,0.7692,0.6541,0.1151,0,1,2,1938-06-16,FIFA World Cup
Hungary,Sweden,0,1,-53.5,-129.2,-2,-0.2,-0.1,-0.3,-0.3,-3.3,-3.0,-406075000.0,-15618269.0,10,0.5,0,0.333,1.0,0.667,0.333,-20.4,1685.8,1739.3,27,25,75.8,79.1,0.2,0.3,0.4866,0.5816,-0.095,2,5,1,1938-06-16,FIFA World Cup
Brazil,Sweden,0,1,340.8,215.0,19,0.0,0.2,1.2,-0.1,6.2,1.0,522125000.0,20081731.0,0,0.333,0,0.333,0.562,0.667,-0.105,15.4,2080.1,1739.3,6,25,85.3,79.1,0.5,0.3,0.7692,0.5816,0.1876,2,4,2,1938-06-19,FIFA World Cup
Hungary,Italy,0,1,-147.0,-147.0,-17,-0.2,-0.5,-1.9,-1.1,-8.6,-4.0,0.0,0.0,15,0.2,0,0.333,1.0,0.467,0.533,0.0,1685.8,1832.8,27,10,75.8,84.4,0.2,0.7,0.4866,0.6541,-0.1675,0,2,4,1938-06-19,FIFA World Cup
Brazil,Mexico,0,0,120.4,220.0,8,0.0,-0.1,0.0,0.4,11.6,9.0,736350000.0,28321154.0,0,0.333,0,0.333,0.562,0.5,0.062,-11.7,2080.1,1959.7,6,14,85.3,73.7,0.5,0.6,0.7692,0.6511,0.1181,2,4,0,1950-06-24,FIFA World Cup
Chile,England,0,1,-415.0,-334.5,-36,-0.8,-0.8,-3.4,-2.1,-10.7,-13.0,-1358200000.0,-52238462.0,0,0.333,0,0.333,0.5,0.333,0.167,-32.8,1715.5,2130.5,40,4,74.5,85.2,0.1,0.9,0.4635,0.9344,-0.4709,0,0,2,1950-06-25,FIFA World Cup
Italy,Sweden,0,1,93.5,17.8,15,0.0,0.4,1.6,0.8,5.3,1.0,-406075000.0,-15618269.0,3,0.333,0,0.333,0.467,0.667,-0.2,-20.4,1832.8,1739.3,10,25,84.4,79.1,0.7,0.3,0.6541,0.5816,0.0725,0,2,3,1950-06-25,FIFA World Cup
Spain,United States,0,1,206.6,270.0,15,0.0,0.3,2.2,2.0,7.4,6.0,860150000.0,33082692.0,0,0.333,0,0.333,0.5,0.6,-0.1,-8.4,2219.8,2013.2,2,17,85.8,78.4,0.7,0.4,0.8819,0.6429,0.239,2,3,1,1950-06-25,FIFA World Cup
Switzerland,Yugoslavia,0,1,61.1,-54.9,-3,-0.2,-0.2,-0.6,-0.3,5.2,7.0,332500000.0,12788462.0,3,0.333,0,0.333,0.25,0.0,0.25,44.2,1976.0,1914.9,19,16,80.2,75.0,0.6,0.8,0.6869,0.6713,0.0156,0,0,3,1950-06-25,FIFA World Cup
Brazil,Switzerland,0,0,104.1,170.0,13,0.0,-0.1,-0.8,-0.8,5.1,2.0,595700000.0,22911538.0,0,0.333,0,0.333,0.562,0.25,0.312,-8.3,2080.1,1976.0,6,19,85.3,80.2,0.5,0.6,0.7692,0.6869,0.0823,1,2,2,1950-06-28,FIFA World Cup
Mexico,Yugoslavia,0,1,44.8,-104.9,2,-0.2,-0.2,-1.4,-1.5,-1.3,0.0,191850000.0,7378846.0,0,0.333,0,0.333,0.5,0.0,0.5,47.6,1959.7,1914.9,14,16,73.7,75.0,0.6,0.8,0.6511,0.6713,-0.0202,0,1,4,1950-06-28,FIFA World Cup
Chile,Spain,0,1,-504.3,-404.5,-38,-0.6,-0.6,-3.4,-2.7,-11.3,-13.0,-1222800000.0,-47030769.0,0,0.333,0,0.333,0.5,0.5,0.0,-29.2,1715.5,2219.8,40,2,74.5,85.8,0.1,0.7,0.4635,0.8819,-0.4184,0,0,2,1950-06-29,FIFA World Cup
England,United States,0,1,117.3,200.0,13,0.2,0.5,2.2,1.4,6.8,6.0,995550000.0,38290385.0,0,0.333,0,0.333,0.333,0.6,-0.267,-4.8,2130.5,2013.2,4,17,85.2,78.4,0.9,0.4,0.9344,0.6429,0.2915,0,0,1,1950-06-29,FIFA World Cup
Paraguay,Sweden,0,1,147.3,-90.0,-29,-0.2,0.2,0.7,-0.4,-4.2,-9.0,-252925000.0,-9727885.0,0,0.333,0,0.333,0.462,0.667,-0.205,6.7,1886.6,1739.3,54,25,74.9,79.1,0.5,0.3,0.612,0.5816,0.0304,1,2,2,1950-06-29,FIFA World Cup
Brazil,Yugoslavia,0,0,165.2,115.1,10,-0.2,-0.3,-1.4,-1.1,10.3,9.0,928200000.0,35700000.0,3,0.333,1,0.0,0.562,0.0,0.562,35.8,2080.1,1914.9,6,16,85.3,75.0,0.5,0.8,0.7692,0.6713,0.0979,2,2,0,1950-07-01,FIFA World Cup
Bolivia,Uruguay,0,1,-124.5,-193.0,-68,0.2,0.0,-1.1,-0.3,-12.8,-17.0,-359300000.0,-13819231.0,6,0.167,0,0.333,0.5,0.529,-0.029,-36.3,1767.0,1891.5,84,16,67.5,80.3,0.3,0.3,0.5061,0.6023,-0.0962,0,0,8,1950-07-02,FIFA World Cup
Chile,United States,0,1,-297.7,-134.5,-23,-0.6,-0.3,-1.2,-0.7,-3.9,-7.0,-362650000.0,-13948077.0,0,0.333,0,0.333,0.5,0.6,-0.1,-37.6,1715.5,2013.2,40,17,74.5,78.4,0.1,0.4,0.4635,0.6429,-0.1794,2,5,2,1950-07-02,FIFA World Cup
England,Spain,0,1,-89.3,-70.0,-2,0.2,0.2,0.0,-0.6,-0.6,0.0,135400000.0,5207692.0,2,0.5,0,0.333,0.333,0.5,-0.167,3.7,2130.5,2219.8,4,2,85.2,85.8,0.9,0.7,0.9344,0.8819,0.0525,0,0,1,1950-07-02,FIFA World Cup
Italy,Paraguay,0,1,-53.8,107.8,44,0.2,0.2,0.9,1.2,9.5,10.0,-153150000.0,-5890385.0,0,0.333,0,0.333,0.467,0.462,0.005,-27.1,1832.8,1886.6,10,54,84.4,74.9,0.7,0.5,0.6541,0.612,0.0421,2,2,0,1950-07-02,FIFA World Cup
Mexico,Switzerland,0,1,-16.3,-50.0,5,0.0,0.0,-0.8,-1.2,-6.5,-7.0,-140650000.0,-5409615.0,0,0.333,0,0.333,0.5,0.25,0.25,3.4,1959.7,1976.0,14,19,73.7,80.2,0.6,0.6,0.6511,0.6869,-0.0358,0,1,2,1950-07-02,FIFA World Cup
Brazil,Sweden,0,0,340.8,215.0,19,0.0,0.2,1.2,-0.1,6.2,1.0,522125000.0,20081731.0,1,1.0,1,1.0,0.562,0.667,-0.105,15.4,2080.1,1739.3,6,25,85.3,79.1,0.5,0.3,0.7692,0.5816,0.1876,2,7,1,1950-07-09,FIFA World Cup
Spain,Uruguay,0,1,328.3,160.0,14,0.2,0.4,2.1,2.0,5.5,1.0,863500000.0,33211538.0,0,0.333,0,0.333,0.5,0.529,-0.029,-7.1,2219.8,1891.5,2,16,85.8,80.3,0.7,0.3,0.8819,0.6023,0.2796,1,2,2,1950-07-09,FIFA World Cup
Brazil,Spain,0,0,-139.7,-90.0,-4,0.0,-0.2,-1.7,-1.7,-0.5,-1.0,-294600000.0,-11330769.0,1,0.0,1,0.0,0.562,0.5,0.062,6.7,2080.1,2219.8,6,2,85.3,85.8,0.5,0.7,0.7692,0.8819,-0.1126,2,6,1,1950-07-13,FIFA World Cup
Sweden,Uruguay,0,1,-152.2,-145.0,-9,0.2,0.0,-0.8,0.4,-1.2,-1.0,46775000.0,1799038.0,0,0.333,0,0.333,0.667,0.529,0.138,-15.8,1739.3,1891.5,25,16,79.1,80.3,0.3,0.3,0.5816,0.6023,-0.0206,0,2,3,1950-07-13,FIFA World Cup
Brazil,Uruguay,0,0,188.6,70.0,10,0.2,0.2,0.4,0.3,5.0,0.0,568900000.0,21880769.0,28,0.429,0,0.333,0.562,0.529,0.033,-0.4,2080.1,1891.5,6,16,85.3,80.3,0.5,0.3,0.7692,0.6023,0.167,0,1,2,1950-07-16,FIFA World Cup
Spain,Sweden,0,1,480.5,305.0,23,0.0,0.4,2.9,1.6,6.7,2.0,816725000.0,31412500.0,1,1.0,0,0.333,0.5,0.667,-0.167,8.7,2219.8,1739.3,2,25,85.8,79.1,0.7,0.3,0.8819,0.5816,0.3002,0,1,3,1950-07-16,FIFA World Cup
Austria,Scotland,0,1,68.2,110.0,15,0.0,0.2,1.8,1.1,0.9,-3.0,115950000.0,4459615.0,5,0.6,0,0.333,0.0,1.0,-1.0,1.2,1846.0,1777.8,24,39,78.3,77.4,0.7,0.5,0.6753,0.597,0.0783,2,1,0,1954-06-16,FIFA World Cup
Brazil,Mexico,0,1,120.4,220.0,8,0.0,-0.1,0.0,0.4,11.6,9.0,736350000.0,28321154.0,2,1.0,1,1.0,0.562,0.5,0.062,-11.7,2080.1,1959.7,6,14,85.3,73.7,0.5,0.6,0.7692,0.6511,0.1181,2,5,0,1954-06-16,FIFA World Cup
Czechoslovakia,Uruguay,0,1,-143.8,-212.3,-3,0.2,0.1,0.9,0.9,-5.3,-9.0,-359300000.0,-13819231.0,0,0.333,0,0.333,1.0,0.529,0.471,-36.3,1747.7,1891.5,19,16,75.0,80.3,0.4,0.3,0.5447,0.6023,-0.0576,0,0,2,1954-06-16,FIFA World Cup
France,Yugoslavia,0,1,258.3,185.1,13,0.0,0.0,-0.3,0.2,11.1,11.0,1523000000.0,58576923.0,10,0.4,0,0.333,0.455,0.0,0.455,31.4,2173.2,1914.9,3,16,86.1,75.0,0.8,0.8,0.9401,0.6713,0.2688,0,0,1,1954-06-16,FIFA World Cup
Belgium,England,0,1,-290.7,-100.0,-5,-0.4,-0.4,-0.2,0.4,-2.5,-1.0,-810700000.0,-31180769.0,14,0.071,0,0.333,1.0,0.333,0.667,9.5,1839.8,2130.5,9,4,82.7,85.2,0.5,0.9,0.6745,0.9344,-0.2599,1,4,4,1954-06-17,FIFA World Cup
Germany,Turkey,0,1,256.0,193.8,32,0.6,0.1,1.3,0.7,5.3,3.0,947000000.0,36423077.0,2,0.5,0,0.333,0.75,1.0,-0.25,33.1,2032.2,1776.2,10,42,84.8,79.5,0.7,0.6,0.813,0.6092,0.2038,2,4,1,1954-06-17,FIFA World Cup
Hungary,South Korea,0,1,-80.6,-114.2,-5,-0.2,-0.3,-1.6,-0.4,0.0,0.0,-139050000.0,-5348077.0,0,0.333,0,0.333,1.0,0.6,0.4,-37.5,1685.8,1766.4,27,22,75.8,75.8,0.2,0.5,0.4866,0.593,-0.1064,2,9,0,1954-06-17,FIFA World Cup
Switzerland,Italy,0,0,143.2,27.2,-9,0.0,-0.1,0.4,-0.1,-4.2,-2.0,332500000.0,12788462.0,30,0.133,0,0.333,0.25,0.467,-0.217,44.2,1976.0,1832.8,19,10,80.2,84.4,0.6,0.7,0.6869,0.6541,0.0328,2,2,1,1954-06-17,FIFA World Cup
